Time, Pressure, T_Int F, T_Ext F, Altitude f, Vin, AD0, AD1, AD2
61, 1007.24, 48.92, 52.8, 164, 8.443, 3.038, 2.832, 2.774
62, 1007.29, 49.22, 52.8, 163, 8.443, 3.103, 2.864, 2.729
63, 1007.25, 49.24, 52.7, 164, 8.456, 2.990, 2.745, 3.000
64, 1007.47, 49.22, 52.5, 158, 8.443, 2.977, 2.658, 3.071
65, 1007.34, 49.20, 52.3, 161, 8.456, 2.948, 2.823, 2.890
66, 1007.41, 49.28, 52.3, 159, 8.443, 2.964, 2.832, 3.035
67, 1007.50, 49.28, 52.3, 157, 8.430, 2.961, 2.787, 2.977
68, 1007.54, 49.31, 52.1, 156, 8.413, 2.942, 2.710, 2.890
69, 1007.57, 49.31, 52.1, 155, 8.413, 2.935, 2.707, 2.922
70, 1007.58, 49.33, 51.9, 155, 8.413, 2.993, 2.823, 3.093
71, 1007.49, 49.37, 51.8, 157, 8.413, 2.958, 2.900, 3.103
72, 1007.44, 49.40, 51.8, 159, 8.413, 2.990, 2.790, 3.067
73, 1007.64, 49.40, 51.6, 153, 8.413, 3.006, 2.848, 3.113
74, 1007.51, 49.42, 51.6, 157, 8.400, 2.980, 2.881, 2.997
75, 1007.36, 49.46, 51.4, 161, 8.400, 3.026, 2.964, 3.080
76, 1007.25, 49.47, 51.4, 164, 8.400, 3.032, 2.871, 3.135
77, 1007.28, 49.51, 51.4, 163, 8.400, 2.968, 2.755, 3.096
78, 1007.31, 49.53, 51.2, 162, 8.400, 2.980, 2.806, 3.096
79, 1007.48, 49.56, 51.0, 158, 8.387, 3.000, 3.003, 3.045
80, 1007.52, 49.58, 51.0, 156, 8.387, 2.974, 3.135, 2.852
81, 1007.50, 49.60, 51.0, 157, 8.387, 3.013, 3.087, 3.026
82, 1007.47, 49.62, 51.0, 158, 8.387, 3.013, 3.032, 3.074
83, 1007.48, 49.64, 51.0, 158, 8.387, 2.993, 2.922, 3.045
84, 1007.47, 49.65, 51.0, 158, 8.400, 2.993, 2.800, 3.119
85, 1007.48, 49.67, 51.0, 158, 8.387, 2.935, 2.810, 2.926
86, 1007.48, 49.69, 51.0, 158, 8.387, 3.016, 2.948, 3.103
87, 1007.33, 49.71, 51.0, 162, 8.374, 3.026, 2.980, 3.093
88, 1007.33, 49.76, 50.9, 162, 8.374, 2.974, 2.852, 3.003
89, 1007.41, 49.78, 50.9, 159, 8.374, 3.000, 2.816, 3.045
90, 1007.33, 49.82, 50.9, 162, 8.374, 2.951, 2.864, 2.974
91, 1007.45, 49.83, 50.9, 158, 8.374, 2.980, 2.858, 3.096
92, 1007.46, 49.83, 50.9, 158, 8.374, 2.926, 2.729, 2.987
93, 1007.45, 49.85, 50.9, 158, 8.374, 2.955, 2.771, 3.129
94, 1007.39, 49.85, 50.9, 160, 8.374, 2.897, 2.771, 3.106
95, 1007.38, 49.87, 50.9, 160, 8.374, 2.871, 2.710, 3.032
96, 1007.40, 49.89, 50.7, 160, 8.374, 2.884, 2.719, 3.113
97, 1007.38, 49.92, 50.7, 160, 8.361, 2.816, 2.774, 2.964
98, 1007.39, 49.94, 50.5, 160, 8.374, 2.845, 2.710, 3.064
99, 1007.38, 49.96, 50.5, 160, 8.361, 2.797, 2.716, 2.964
100, 1007.37, 50.00, 50.5, 160, 8.374, 2.877, 2.826, 3.093
101, 1007.38, 50.01, 50.5, 160, 8.361, 2.813, 2.710, 3.006
102, 1007.39, 50.05, 50.5, 160, 8.361, 2.852, 2.826, 3.109
103, 1007.41, 50.05, 50.5, 159, 8.361, 2.832, 2.745, 3.058
104, 1007.42, 50.07, 50.5, 159, 8.361, 2.810, 2.719, 3.003
105, 1007.41, 50.07, 50.5, 159, 8.361, 2.839, 2.832, 3.087
106, 1007.44, 50.09, 50.5, 159, 8.344, 2.861, 2.787, 3.109
107, 1007.51, 50.12, 50.3, 157, 8.344, 2.871, 2.955, 3.026
108, 1007.56, 50.19, 50.3, 155, 8.344, 2.877, 2.910, 3.022
109, 1007.50, 50.21, 50.3, 157, 8.344, 2.987, 3.009, 3.161
110, 1007.49, 50.21, 50.1, 157, 8.344, 2.993, 3.026, 3.200
111, 1007.56, 50.23, 50.1, 155, 8.344, 2.993, 2.987, 3.142
112, 1007.50, 50.25, 50.1, 157, 8.344, 2.961, 2.980, 3.135
113, 1007.47, 50.27, 50.1, 158, 8.344, 2.919, 2.797, 3.071
114, 1007.49, 50.28, 50.1, 157, 8.331, 2.935, 2.929, 3.132
115, 1007.49, 50.30, 50.1, 157, 8.344, 2.926, 2.832, 3.132
116, 1007.50, 50.32, 50.1, 157, 8.344, 2.929, 2.961, 3.029
117, 1007.51, 50.34, 50.0, 157, 8.344, 2.929, 2.916, 3.058
