Time, Pressure, T_Int F, T_Ext F, Altitude f, Vin, AD0, AD1, AD2, UTC, Lat, N/S, Lon, E/W, Speed mph, Heading, GPS Altitude f, Valid
494,994.48,39.02,31.9,517,7.68,2.317,2.562,2.42,132457,3509.6596, N,8051.5017, W,0.186,246.19,656,1
495,994.5,39.02,32,516,7.663,2.284,2.478,2.407,132458,3509.6597, N,8051.5018, W,0.1,246.19,656,1
496,994.5,39.02,32,516,7.693,2.291,2.458,2.4,132459,3509.6596, N,8051.5017, W,0.078,246.19,656,1
497,994.56,39.02,32.1,515,7.68,2.323,2.51,2.433,132500,3509.6596, N,8051.5018, W,0.218,246.19,656,1
498,994.55,39.02,32.1,515,7.68,2.304,2.491,2.426,132501,3509.6596, N,8051.5018, W,0.14,246.19,656,1
499,994.58,39.03,32.3,514,7.749,2.204,2.484,2.381,132502,3509.6596, N,8051.5018, W,0.142,246.19,656,1
500,994.56,39.05,32.5,515,7.68,2.304,2.545,2.4,132503,3509.6595, N,8051.5017, W,0.344,246.19,656,1
501,994.58,39.03,32.5,514,7.68,2.317,2.513,2.407,132504,3509.6595, N,8051.5018, W,0.226,246.19,656,1
502,994.56,39.03,32.5,515,7.68,2.362,2.581,2.462,132505,3509.6594, N,8051.5017, W,0.066,246.19,659,1
503,994.57,39.05,32.5,515,7.762,2.32,2.536,2.42,132506,3509.6594, N,8051.5016, W,0.19,246.19,659,1
504,994.56,39.07,32.5,515,7.749,2.381,2.542,2.465,132507,3509.6593, N,8051.5016, W,0.116,246.19,659,1
505,994.57,39.07,32.5,515,7.762,2.346,2.568,2.462,132508,3509.6592, N,8051.5015, W,0.144,246.19,659,1
506,994.57,39.07,32.5,515,7.749,2.336,2.536,2.433,132509,3509.6592, N,8051.5015, W,0.086,246.19,659,1
507,994.57,39.09,32.5,515,7.663,2.333,2.536,2.439,132510,3509.6592, N,8051.5015, W,0.558,275.21,659,1
508,994.55,39.09,32.5,515,7.719,2.378,2.62,2.484,132511,3509.6592, N,8051.5015, W,0.242,275.21,662,1
509,994.55,39.09,32.5,515,7.749,2.375,2.6,2.484,132512,3509.6591, N,8051.5015, W,0.176,275.21,659,1
510,994.55,39.09,32.3,515,7.762,2.358,2.555,2.455,132513,3509.6591, N,8051.5014, W,0.372,275.21,659,1
511,994.56,39.11,32.5,515,7.736,2.391,2.594,2.475,132514,3509.659, N,8051.5013, W,0.068,275.21,662,1
512,994.57,39.11,32.5,515,7.762,2.352,2.587,2.491,132515,3509.6588, N,8051.5011, W,0.25,275.21,666,1
513,994.55,39.05,32.3,515,7.736,2.41,2.639,2.487,132516,3509.6588, N,8051.501, W,0.176,275.21,666,1
514,994.56,39.11,32.3,515,7.736,2.375,2.613,2.51,132517,3509.6588, N,8051.5009, W,0.102,275.21,666,1
515,994.57,39.11,32.3,515,7.706,2.349,2.549,2.458,132518,3509.6588, N,8051.5009, W,0.022,275.21,666,1
516,994.57,39.14,32.1,515,7.693,2.358,2.555,2.458,132519,3509.6587, N,8051.5009, W,0.142,275.21,666,1
517,994.57,39.14,32.1,515,7.68,2.362,2.6,2.497,132520,3509.6587, N,8051.5008, W,0.18,275.21,666,1
518,994.56,39.14,32.1,515,7.65,2.349,2.552,2.484,132521,3509.6587, N,8051.5009, W,0.036,275.21,666,1
519,994.56,39.14,32.1,515,7.68,2.368,2.568,2.465,132522,3509.6587, N,8051.5008, W,0.124,275.21,666,1
520,994.55,39.16,32.1,515,7.65,2.394,2.613,2.507,132523,3509.6588, N,8051.5008, W,0.218,275.21,666,1
521,994.57,39.18,32,515,7.693,2.329,2.536,2.429,132524,3509.6588, N,8051.5008, W,0.048,275.21,662,1
522,994.56,39.18,32,515,7.736,2.346,2.536,2.452,132525,3509.6588, N,8051.5007, W,0.096,275.21,662,1
523,994.56,39.18,32,515,7.68,2.416,2.62,2.51,132526,3509.6587, N,8051.5007, W,0.032,275.21,666,1
524,994.55,39.2,32,515,7.68,2.384,2.584,2.497,132527,3509.6587, N,8051.5006, W,0.154,275.21,666,1
525,994.55,39.21,32,515,7.68,2.329,2.568,2.458,132528,3509.6586, N,8051.5005, W,0.218,275.21,666,1
526,994.56,39.21,32,515,7.65,2.339,2.523,2.455,132529,3509.6586, N,8051.5005, W,0.022,275.21,666,1
527,994.54,39.23,31.9,515,7.719,2.349,2.542,2.465,132530,3509.6586, N,8051.5005, W,0.126,275.21,666,1
528,994.55,39.23,31.9,515,7.706,2.381,2.607,2.5,132531,3509.6586, N,8051.5005, W,0.112,275.21,666,1
529,994.56,39.23,31.9,515,7.736,2.362,2.562,2.468,132532,3509.6586, N,8051.5005, W,0.078,275.21,666,1
530,994.57,39.25,31.9,515,7.693,2.4,2.587,2.523,132533,3509.6585, N,8051.5005, W,0.092,275.21,666,1
531,994.55,39.27,31.9,515,7.736,2.404,2.6,2.523,132534,3509.6585, N,8051.5005, W,0.062,275.21,666,1
532,994.56,39.27,31.7,515,7.706,2.336,2.578,2.478,132535,3509.6585, N,8051.5005, W,0.094,275.21,666,1
533,994.55,39.29,31.5,515,7.736,2.387,2.584,2.491,132536,3509.6585, N,8051.5005, W,0.092,275.21,666,1
534,994.55,39.29,31.5,515,7.719,2.387,2.587,2.491,132537,3509.6585, N,8051.5005, W,0.016,275.21,666,1
535,994.54,39.3,31.5,515,7.68,2.375,2.603,2.497,132538,3509.6586, N,8051.5005, W,0.158,275.21,666,1
536,994.55,39.3,31.5,515,7.736,2.362,2.549,2.475,132539,3509.6586, N,8051.5005, W,0.104,275.21,666,1
537,994.54,39.32,31.5,515,7.736,2.358,2.555,2.475,132540,3509.6586, N,8051.5005, W,0.042,275.21,666,1
538,994.56,39.32,31.3,515,7.762,2.371,2.613,2.491,132541,3509.6586, N,8051.5005, W,0.186,275.21,666,1
539,994.54,39.34,31.3,515,7.68,2.342,2.568,2.475,132542,3509.6586, N,8051.5005, W,0.12,275.21,666,1
540,994.55,39.34,31.3,515,7.736,2.407,2.587,2.526,132543,3509.6586, N,8051.5004, W,0.146,275.21,666,1
541,994.54,39.36,31.1,515,7.736,2.387,2.581,2.516,132544,3509.6586, N,8051.5004, W,0.078,275.21,666,1
542,994.53,39.38,31.1,516,7.706,2.317,2.545,2.416,132545,3509.6586, N,8051.5004, W,0.2,275.21,666,1
543,994.52,39.38,31.1,516,7.736,2.375,2.542,2.487,132546,3509.6587, N,8051.5005, W,0.698,296.59,666,1
544,994.54,39.39,31.1,515,7.762,2.362,2.632,2.497,132547,3509.6587, N,8051.5006, W,0.266,296.59,666,1
545,994.54,39.39,31.1,515,7.693,2.349,2.552,2.478,132548,3509.6587, N,8051.5006, W,0.058,296.59,666,1
546,994.53,39.41,31,516,7.736,2.413,2.613,2.549,132549,3509.6587, N,8051.5006, W,0.01,296.59,666,1
